vers_nr,T_K,mdot_kg_h,z,PE_eff,Pe,lambda_ratio_meas,lambda_ratio_calc,fehl
KK02/14,341,278.0,0.76,6.33,494,78.0,88.4,13.3
KK02/15,341,348.0,0.72,6.65,618,92.9,105.5,13.6
KK02/16,341,454.7,0.68,7.10,807,113.8,130.8,15.0
KK02/17,340,58.2,1.72,2.80,103,36.9,29.6,-20.0
KK02/18,338,57.8,1.71,2.81,103,36.8,29.6,-19.5
KK02/21,340,407.5,0.51,6.46,799,123.7,131.3,6.1
KK02/22,341,296.9,0.59,5.66,527,93.1,93.0,-0.1
KK02/23,341,208.3,0.66,5.00,370,73.9,70.7,-4.3
KK02/24,340,131.3,0.78,4.25,233,54.9,50.3,-8.3
KK02/25,340,69.1,1.05,3.16,123,38.9,32.8,-15.8
KK10/11,341,401.5,0.58,5.48,807,147.3,152.3,3.4
KK10/12,341,288.7,0.65,4.91,581,118.2,118.5,0.3
KK10/13,341,182.2,0.76,4.17,366,87.8,84.5,-3.7
KK10/14,341,89.0,1.07,2.97,179,60.3,52.1,-13.7
KK10/21,341,364.9,0.37,5.73,734,127.9,141.5,10.6
KK10/22,342,247.7,0.42,5.01,497,99.2,105.5,6.4
KK10/23,342,163.5,0.48,3.97,328,74.7,78.2,4.6
KK10/24,342,86.9,0.63,3.37,174,51.8,51.2,-1.1
KK10/31,337,70.3,1.25,2.64,143,54.0,43.0,-20.4
KK10/32,338,177.4,0.81,4.11,360,87.5,79.7,-8.9
KK10/33,338,250.6,0.71,4.65,507,109.1,102.7,-5.8
KK10/34,339,339.4,0.64,5.46,686,132.9,129.3,-2.7
KK10/35,339,460.3,0.58,5.74,930,161.4,164.1,1.6
KK10/41,319,481.1,0.56,5.83,1020,174.8,179.2,2.6
KK10/42,318,389.8,0.59,5.56,827,148.8,152.0,2.2
KK10/43,318,299.1,0.62,5.25,635,120.9,123.9,2.5
KK10/44,319,213.7,0.68,4.80,453,94.4,96.1,1.8
KK10/45,319,156.5,0.75,4.36,332,76.6,76.6,0.6
KK10/46,319,80.2,0.99,3.31,170,51.3,48.7,-5.2
